variable,clay_fraction,clay_fraction,clay_fraction,climate_KG,climate_KG,climate_KG,climate_insitu,climate_insitu,climate_insitu,elevation,elevation,elevation,instrument,instrument,instrument,latitude,latitude,latitude,lc_2000,lc_2000,lc_2000,lc_2005,lc_2005,lc_2005,lc_2010,lc_2010,lc_2010,lc_insitu,lc_insitu,lc_insitu,longitude,longitude,longitude,network,network,network,organic_carbon,organic_carbon,organic_carbon,sand_fraction,sand_fraction,sand_fraction,saturation,saturation,saturation,silt_fraction,silt_fraction,silt_fraction,station,station,station,timerange_from,timerange_from,timerange_from,timerange_to,timerange_to,timerange_to,variable,variable,variable,file_path,file_type
key,depth_from,depth_to,val,depth_from,depth_to,val,depth_from,depth_to,val,depth_from,depth_to,val,depth_from,depth_to,val,depth_from,depth_to,val,depth_from,depth_to,val,depth_from,depth_to,val,depth_from,depth_to,val,depth_from,depth_to,val,depth_from,depth_to,val,depth_from,depth_to,val,depth_from,depth_to,val,depth_from,depth_to,val,depth_from,depth_to,val,depth_from,depth_to,val,depth_from,depth_to,val,depth_from,depth_to,val,depth_from,depth_to,val,depth_from,depth_to,val,val,val
10,0.3,1.0,20.0,,,Cfa,,,Csa,,,275.0,0.4,0.4,EC5,,,44.68253,,,12,,,12,,,12,,,10,,,8.62639,,,STEMS,0.3,1.0,0.5,0.3,1.0,45.0,0.3,1.0,0.41,0.3,1.0,35.0,,,CAN_CT_T,,,2015-12-04 00:00:00,,,2022-09-26 10:00:00,0.4,0.4,soil_moisture,STEMS/CAN-CT-T/STEMS_STEMS_CAN-CT-T_sm_0.400000_0.400000_EC5_19500101_20221117.stm,header_values
11,0.0,0.1,18.2,,,Cfa,,,Csa,,,275.0,0.1,0.1,5TM,,,44.68253,,,12,,,12,,,12,,,10,,,8.62639,,,STEMS,0.0,0.1,1.78,0.0,0.1,27.6,0.0,0.1,0.49,0.0,0.1,54.1,,,CAN_CT_T,,,2015-12-04 00:00:00,,,2022-09-26 10:00:00,0.1,0.1,soil_moisture,STEMS/CAN-CT-T/STEMS_STEMS_CAN-CT-T_sm_0.100000_0.100000_5TM_19500101_20221117.stm,header_values
12,0.0,0.3,20.0,,,Cfa,,,Csa,,,275.0,0.3,0.3,5TM,,,44.68253,,,12,,,12,,,12,,,10,,,8.62639,,,STEMS,0.0,0.3,1.45,0.0,0.3,42.0,0.0,0.3,0.46,0.0,0.3,38.0,,,CAN_CT_T,,,2015-12-04 00:00:00,,,2022-09-26 10:00:00,0.3,0.3,soil_moisture,STEMS/CAN-CT-T/STEMS_STEMS_CAN-CT-T_sm_0.300000_0.300000_5TM_19500101_20221117.stm,header_values
13,0.3,1.0,20.0,,,Cfa,,,Csa,,,275.0,0.5,0.5,EC5,,,44.68253,,,12,,,12,,,12,,,10,,,8.62639,,,STEMS,0.3,1.0,0.5,0.3,1.0,45.0,0.3,1.0,0.41,0.3,1.0,35.0,,,CAN_CT_T,,,2019-04-18 19:00:00,,,2022-09-26 10:00:00,0.5,0.5,soil_moisture,STEMS/CAN-CT-T/STEMS_STEMS_CAN-CT-T_sm_0.500000_0.500000_EC5_19500101_20221117.stm,header_values
14,0.0,0.3,20.0,,,Cfa,,,Csa,,,275.0,0.2,0.2,5TM,,,44.68253,,,12,,,12,,,12,,,10,,,8.62639,,,STEMS,0.0,0.3,1.45,0.0,0.3,42.0,0.0,0.3,0.46,0.0,0.3,38.0,,,CAN_CT_T,,,2015-12-04 00:00:00,,,2022-09-26 10:00:00,0.2,0.2,soil_moisture,STEMS/CAN-CT-T/STEMS_STEMS_CAN-CT-T_sm_0.200000_0.200000_5TM_19500101_20221117.stm,header_values
15,0.0,0.3,20.0,,,Cfa,,,Csa,,,275.0,0.3,0.3,5TM,,,44.68253,,,12,,,12,,,12,,,10,,,8.62639,,,STEMS,0.0,0.3,1.45,0.0,0.3,42.0,0.0,0.3,0.46,0.0,0.3,38.0,,,CAN_CT_T,,,2015-12-04 00:00:00,,,2022-09-26 10:00:00,0.3,0.3,soil_temperature,STEMS/CAN-CT-T/STEMS_STEMS_CAN-CT-T_ts_0.300000_0.300000_5TM_19500101_20221117.stm,header_values
16,,,,,,Cfa,,,Csa,,,275.0,-2.0,-2.0,CS215,,,44.68253,,,12,,,12,,,12,,,10,,,8.62639,,,STEMS,,,,,,,,,,,,,,,CAN_CT_T,,,2015-12-04 00:00:00,,,2022-09-26 10:00:00,-2.0,-2.0,air_temperature,STEMS/CAN-CT-T/STEMS_STEMS_CAN-CT-T_ta_-2.000000_-2.000000_CS215_19500101_20221117.stm,header_values
17,0.0,0.3,20.0,,,Cfa,,,Csa,,,275.0,0.2,0.2,5TM,,,44.68253,,,12,,,12,,,12,,,10,,,8.62639,,,STEMS,0.0,0.3,1.45,0.0,0.3,42.0,0.0,0.3,0.46,0.0,0.3,38.0,,,CAN_CT_T,,,2015-12-04 00:00:00,,,2022-09-26 10:00:00,0.2,0.2,soil_temperature,STEMS/CAN-CT-T/STEMS_STEMS_CAN-CT-T_ts_0.200000_0.200000_5TM_19500101_20221117.stm,header_values
18,0.0,0.1,18.2,,,Cfa,,,Csa,,,275.0,0.1,0.1,5TM,,,44.68253,,,12,,,12,,,12,,,10,,,8.62639,,,STEMS,0.0,0.1,1.78,0.0,0.1,27.6,0.0,0.1,0.49,0.0,0.1,54.1,,,CAN_CT_T,,,2015-12-04 00:00:00,,,2022-09-26 10:00:00,0.1,0.1,soil_temperature,STEMS/CAN-CT-T/STEMS_STEMS_CAN-CT-T_ts_0.100000_0.100000_5TM_19500101_20221117.stm,header_values
19,0.0,0.3,20.0,,,Cfa,,,Csa,,,275.0,0.2,0.2,5TM,,,44.68278,,,12,,,12,,,12,,,10,,,8.6267,,,STEMS,0.0,0.3,1.45,0.0,0.3,42.0,0.0,0.3,0.46,0.0,0.3,38.0,,,CAN_GC_NT,,,2015-12-04 00:00:00,,,2022-09-26 10:00:00,0.2,0.2,soil_moisture,STEMS/CAN-GC-NT/STEMS_STEMS_CAN-GC-NT_sm_0.200000_0.200000_5TM_19500101_20221117.stm,header_values
20,0.0,0.3,20.0,,,Cfa,,,Csa,,,275.0,0.2,0.2,5TM,,,44.68278,,,12,,,12,,,12,,,10,,,8.6267,,,STEMS,0.0,0.3,1.45,0.0,0.3,42.0,0.0,0.3,0.46,0.0,0.3,38.0,,,CAN_GC_NT,,,2015-12-04 00:00:00,,,2022-09-26 10:00:00,0.2,0.2,soil_temperature,STEMS/CAN-GC-NT/STEMS_STEMS_CAN-GC-NT_ts_0.200000_0.200000_5TM_19500101_20221117.stm,header_values
21,0.0,0.1,31.5,,,Cfa,,,Csa,,,275.0,0.1,0.1,5TM,,,44.68278,,,12,,,12,,,12,,,10,,,8.6267,,,STEMS,0.0,0.1,0.97,0.0,0.1,14.87,0.0,0.1,0.48,0.0,0.1,53.6,,,CAN_GC_NT,,,2015-12-04 00:00:00,,,2022-09-26 10:00:00,0.1,0.1,soil_temperature,STEMS/CAN-GC-NT/STEMS_STEMS_CAN-GC-NT_ts_0.100000_0.100000_5TM_19500101_20221117.stm,header_values
22,,,,,,Cfa,,,Csa,,,275.0,-2.0,-2.0,CS215,,,44.68278,,,12,,,12,,,12,,,10,,,8.6267,,,STEMS,,,,,,,,,,,,,,,CAN_GC_NT,,,2015-12-04 00:00:00,,,2022-09-26 10:00:00,-2.0,-2.0,air_temperature,STEMS/CAN-GC-NT/STEMS_STEMS_CAN-GC-NT_ta_-2.000000_-2.000000_CS215_19500101_20221117.stm,header_values
23,,,,,,Cfa,,,Csa,,,275.0,-2.0,-2.0,ARG100,,,44.68278,,,12,,,12,,,12,,,10,,,8.6267,,,STEMS,,,,,,,,,,,,,,,CAN_GC_NT,,,2015-12-04 00:00:00,,,2022-09-26 10:00:00,-2.0,-2.0,precipitation,STEMS/CAN-GC-NT/STEMS_STEMS_CAN-GC-NT_p_-2.000000_-2.000000_ARG100_19500101_20221117.stm,header_values
24,0.0,0.1,31.5,,,Cfa,,,Csa,,,275.0,0.1,0.1,5TM,,,44.68278,,,12,,,12,,,12,,,10,,,8.6267,,,STEMS,0.0,0.1,0.97,0.0,0.1,14.87,0.0,0.1,0.48,0.0,0.1,53.6,,,CAN_GC_NT,,,2015-12-04 00:00:00,,,2022-09-26 10:00:00,0.1,0.1,soil_moisture,STEMS/CAN-GC-NT/STEMS_STEMS_CAN-GC-NT_sm_0.100000_0.100000_5TM_19500101_20221117.stm,header_values
25,0.0,0.1,31.5,,,Cfa,,,Csa,,,275.0,0.1,0.1,5TM,,,44.68277,,,12,,,12,,,12,,,10,,,8.62669,,,STEMS,0.0,0.1,0.97,0.0,0.1,14.87,0.0,0.1,0.48,0.0,0.1,53.6,,,CAN_GC_T,,,2015-12-04 00:00:00,,,2022-09-26 10:00:00,0.1,0.1,soil_moisture,STEMS/CAN-GC-T/STEMS_STEMS_CAN-GC-T_sm_0.100000_0.100000_5TM_19500101_20221117.stm,header_values
26,0.0,0.1,31.5,,,Cfa,,,Csa,,,275.0,0.1,0.1,5TM,,,44.68277,,,12,,,12,,,12,,,10,,,8.62669,,,STEMS,0.0,0.1,0.97,0.0,0.1,14.87,0.0,0.1,0.48,0.0,0.1,53.6,,,CAN_GC_T,,,2015-12-04 00:00:00,,,2022-09-26 10:00:00,0.1,0.1,soil_temperature,STEMS/CAN-GC-T/STEMS_STEMS_CAN-GC-T_ts_0.100000_0.100000_5TM_19500101_20221117.stm,header_values
27,0.0,0.3,20.0,,,Cfa,,,Csa,,,275.0,0.2,0.2,5TM,,,44.68277,,,12,,,12,,,12,,,10,,,8.62669,,,STEMS,0.0,0.3,1.45,0.0,0.3,42.0,0.0,0.3,0.46,0.0,0.3,38.0,,,CAN_GC_T,,,2015-12-04 00:00:00,,,2022-09-26 10:00:00,0.2,0.2,soil_moisture,STEMS/CAN-GC-T/STEMS_STEMS_CAN-GC-T_sm_0.200000_0.200000_5TM_19500101_20221117.stm,header_values
28,,,,,,Cfa,,,Csa,,,275.0,-2.0,-2.0,CS215,,,44.68277,,,12,,,12,,,12,,,10,,,8.62669,,,STEMS,,,,,,,,,,,,,,,CAN_GC_T,,,2015-12-04 00:00:00,,,2022-09-26 10:00:00,-2.0,-2.0,air_temperature,STEMS/CAN-GC-T/STEMS_STEMS_CAN-GC-T_ta_-2.000000_-2.000000_CS215_19500101_20221117.stm,header_values
29,0.0,0.3,20.0,,,Cfa,,,Csa,,,275.0,0.2,0.2,5TM,,,44.68277,,,12,,,12,,,12,,,10,,,8.62669,,,STEMS,0.0,0.3,1.45,0.0,0.3,42.0,0.0,0.3,0.46,0.0,0.3,38.0,,,CAN_GC_T,,,2015-12-04 00:00:00,,,2022-09-26 10:00:00,0.2,0.2,soil_temperature,STEMS/CAN-GC-T/STEMS_STEMS_CAN-GC-T_ts_0.200000_0.200000_5TM_19500101_20221117.stm,header_values
30,,,,,,Cfa,,,Csa,,,275.0,-2.0,-2.0,ARG100,,,44.68277,,,12,,,12,,,12,,,10,,,8.62669,,,STEMS,,,,,,,,,,,,,,,CAN_GC_T,,,2015-12-04 00:00:00,,,2022-09-26 10:00:00,-2.0,-2.0,precipitation,STEMS/CAN-GC-T/STEMS_STEMS_CAN-GC-T_p_-2.000000_-2.000000_ARG100_19500101_20221117.stm,header_values
31,0.0,0.3,20.0,,,Cfa,,,Csa,,,275.0,0.3,0.3,5TM,,,44.68277,,,12,,,12,,,12,,,10,,,8.62669,,,STEMS,0.0,0.3,1.45,0.0,0.3,42.0,0.0,0.3,0.46,0.0,0.3,38.0,,,CAN_GC_T,,,2015-12-04 00:00:00,,,2022-09-26 10:00:00,0.3,0.3,soil_temperature,STEMS/CAN-GC-T/STEMS_STEMS_CAN-GC-T_ts_0.300000_0.300000_5TM_19500101_20221117.stm,header_values
32,0.0,0.3,20.0,,,Cfa,,,Csa,,,275.0,0.3,0.3,5TM,,,44.68277,,,12,,,12,,,12,,,10,,,8.62669,,,STEMS,0.0,0.3,1.45,0.0,0.3,42.0,0.0,0.3,0.46,0.0,0.3,38.0,,,CAN_GC_T,,,2015-12-04 00:00:00,,,2022-09-26 10:00:00,0.3,0.3,soil_moisture,STEMS/CAN-GC-T/STEMS_STEMS_CAN-GC-T_sm_0.300000_0.300000_5TM_19500101_20221117.stm,header_values
